Name_of_the_video;MG;TMG;MGA;TMGA;DG;MSGO;MAGO;MSGC;MAGC;MHA;TMHA;Thd1;Mhd1;TMhd1;Dhd1;MShd1down;MShd1up;MAhd1down;Thd2;Mhd2;TMhd2;Dhd2;MShd2down;MShd2up;MAhd2down;PCD;stage;stage2;SVL;ind;tweezer;prey;head_position
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq1_dahnie_cropped;0.2022789;0.019;44.42377;0.019;0.038;18.71086;4341.435224;-25.14397;4706.262;124.831963180524;0;0;0.2349792;0.023;0.239;19.15133;-13.03238;3948.854528;0;0.2997277;0.025;0.265;17.6816;-10.91749;3593.370394;0.265;stage57;larvae;2.66;Larva9;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq2_dahnie_good_cropped;0.1720862;0.019;25.11477;0.019;0.036;25.45297;3937.639392;-22.20073;5241.50031;152.8439;0.089;0.007;0.1458367;0.026;0.146;14.5623;-7.176735;2938.551356;0.008;0.1851361;0.027;0.139;18.82179;-4.556712;3639.354658;0.153;stage57;larvae;2.66;Larva9;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq3_dahnie_cropped;0.1891014;0.019;19.37607;0.017;0.083;25.29466;4585.522644;-16.5314;3320.391288;150.7727;0.04;0.002;0.1748113;0.038;0.164;17.99882;-4.289308;5935.139207;0.012;0.2153161;0.046;0.165;16.05095;-3.861525;4707.769356;0.177;stage57;larvae;2.66;Larva9;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq4_dahnie_good_cropped;0.2638402;0.013;39.38115;0.013;0.037;30.95669;9906.742535;-19.58219;4614.957247;159.938;0.016;0.002;0.1691507;0.028;0.138;14.04854;-5.041245;4501.311237;0.001;0.2042817;0.029;0.108;18.2918;-9.095682;3542.948785;0.14;stage57;larvae;2.66;Larva9;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq6_dahnie_good_cropped;0.167229;0.015;23.46589;0.015;0.028;23.82549;6869.728379;-19.12584;5478.771501;149.0864;0.006;-0.001;0.1442553;0.021;0.219;8.934087;-3.651427;1957.303824;0.004;0.1981088;0.042;0.167;12.59377;-4.214212;3061.171738;0.218;stage57;larvae;2.66;Larva9;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq1_dahnie_good_cropped;0.312852;0.014;60.8789;0.013;0.056;36.37638;16947.3271;-20.60753;4810.815373;153.2392;0.009;0;0.2966609;0.025;0.097;29.24399;-11.33716;4657.517758;0.004;0.3330722;0.02;0.175;33.8288;-9.252797;9525.921739;0.179;stage54;larvae;2.96;Larva2;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq2_dahnie_good_cropped;0.3914414;0.026;43.18703;0.026;0.063;33.94632;5132.52214;-27.36548;5074.426463;158.8716;0.109;0.001;0.3224135;0.028;0.145;19.32597;-18.97964;5389.710545;0.007;0.3299231;0.03;0.106;25.32567;-16.25694;5038.663152;0.146;stage54;larvae;2.96;Larva2;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq3_dahnie_good_cropped;0.3015394;0.023;46.3426;0.023;0.05;24.54695;5880.521187;-26.94824;6463.577123;169.6039;0.022;0.001;0.2172193;0.026;0.192;19.88789;-5.510866;5081.37538;0.01;0.2240942;0.028;0.155;26.01929;-6.05416;7284.441348;0.193;stage54;larvae;2.96;Larva2;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq4_dahnie_average_cropped;0.2397397;0.02;32.26392;0.02;0.039;23.2612;5089.347283;-26.54697;7522.98581;163.5837;0.111;-0.001;0.08262267;0.02;0.154;8.779598;-5.109361;2784.118414;-0.002;0.120136;0.05;0.154;7.257918;-7.53537;1876.185516;0.153;stage54;larvae;2.96;Larva2;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq5_vb_good_cropped;0.4711592;0.022;58.59981;0.022;0.085;49.8863;10984.41998;-19.04795;4022.52303;174.6734;0.02;0.007;0.2358536;0.027;0.203;18.98168;-8.698548;4919.117291;0.003;0.281222;0.039;0.225;16.83441;-4.898024;3067.323836;0.228;stage54;larvae;2.96;Larva2;no;vb_vivant;en l'air
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq6_daphnie_good_cropped;0.262483;0.017;40.24675;0.018;0.062;30.40447;5251.253926;-24.68477;4760.300936;145.3511;0.219;0.005;0.2750192;0.029;0.214;24.75334;-13.63516;4640.580048;0.005;0.261828;0.027;0.142;31.81152;-13.5664;6423.109451;0.219;stage54;larvae;2.96;Larva2;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind3_capture_aq_seq1_daphnie_good_cropped;0.3256121;0.02;59.72939;0.02;0.052;27.29842;3933.843537;-31.31411;6595.217154;150.1387;0.02;0.002;0.2602866;0.033;0.334;23.58402;-11.47919;4324.283704;0.004;0.3190349;0.026;0.27;27.48457;-8.62825;5563.528324;0.336;stage53;larvae;2.6;Larva1;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind3_capture_aq_seq2_daphnie_average_cropped;0.381544;0.019;64.28434;0.018;0.046;32.9361;8612.835934;-23.36993;3150.322317;172.3302;0.272;0.002;0.1928048;0.031;0.278;15.81989;-10.47431;3221.252227;0;0.2306473;0.029;0.297;18.68325;-4.422914;4245.996042;0.297;stage53;larvae;2.6;Larva1;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind3_capture_aq_seq3_daphnie_cropped;0.1903;0.018;74.85531;0.023;0.066;23.13784;6140.826311;-7.747314;1357.624957;150.1653;0.039;-0.004;0.152382;0.032;0.216;7.77929;-3.318861;1521.204867;-0.007;0.1856183;0.042;0.272;8.276022;-4.134945;1570.28684;0.265;stage53;larvae;2.6;Larva1;no;daphnie;en nage
A_mexicanum_larvae_small_size1_ind3_capture_aq_seq4_daphnie_cropped;0.1870079;0.03;23.70572;0.029;0.074;28.2266;7642.559835;-13.09071;3633.673562; 159.9053;0.156;-0.006;0.1104128;0.021;0.174;10.22688;-4.812323;2683.72574;0.005;0.1077732;0.052;0.161;9.553897;-6.063657;3576.944295;0.168;stage53;larvae;2.6;Larva1;no;daphnie;en nage
