Name_of_the_video;time_scale fps;space scale (nb pxl for 2cm)
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq1_dahnie_cropped;1000;120.0042
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq2_dahnie_good_cropped;1000;122.0041
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq3_dahnie_cropped;1000;123
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq4_dahnie_good_cropped;1000;125
A_mexicanum_larvae_small_size1_ind1_capture_aq_seq6_dahnie_good_cropped;1000;123.0041
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq1_dahnie_good_cropped;1000;123.0163
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq2_dahnie_good_cropped;1000;122.0164
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq3_dahnie_good_cropped;1000;125.0160
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq4_dahnie_average_cropped;1000;124.0363
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq5_vb_good_cropped;1000;123.0366
A_mexicanum_larvae_small_size1_ind2_capture_aq_seq6_daphnie_good_cropped;1000;125.0040
A_mexicanum_larvae_small_size1_ind3_capture_aq_seq1_daphnie_good_cropped;1000;120.0167
A_mexicanum_larvae_small_size1_ind3_capture_aq_seq2_daphnie_average_cropped;1000;120.0167
A_mexicanum_larvae_small_size1_ind3_capture_aq_seq3_daphnie_cropped;1000;121.0041
A_mexicanum_larvae_small_size1_ind3_capture_aq_seq4_daphnie_cropped;1000;121.0165
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq1_vb_good_cropped;1000;120
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq2_vb_good_cropped;1000;119
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq3_vb_average_cropped;1000;117.0043
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq4_vdt_good_cropped;1000;116.0172
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq5_vdt_good_cropped;1000;119.0042
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq6_vb_cropped;1000;120
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq7_vb_good_cropped;1000;120.0167
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq8_vb_good_cropped;1000;118.0042
A_mexicanum_larvae_small_size2_ind1_capture_aq_seq9_vb_good_cropped;1000;121
